"ScatID","sample","scat.number","CollectionType","scatseason","CollectionDate","Easting","Northing","e","e.m","YEAR","YrsSinceDi","TREATMENT_","class","hja","logged","Amphibia","Aves","Mammalia","Reptilia","Gastropoda","Arachnida","myriapoda","Insecta","Streptophyta"
"S30-106","30",106,"S","dry",2018-08-01 08:53:00,563145,4897518,2092.377865,637.9200807,1986,32,"Clearcut",1,1,1,0,0,0,0,0,0,0,1,0
"S30-107","30",107,"S","dry",2018-08-01 08:55:00,563145,4897518,2092.377865,637.9200807,1986,32,"Clearcut",1,1,1,0,0,1,0,0,0,0,1,0
"S30-108","30",108,"S","dry",2018-08-01 09:00:00,563154,4897537,2086.981627,636.2748861,1986,32,"Clearcut",1,1,1,0,0,1,0,0,0,0,1,0
"S30-109","30",109,"S","dry",2018-08-01 09:02:00,563154,4897537,2086.981627,636.2748861,1986,32,"Clearcut",1,1,1,0,0,0,0,0,0,0,1,1
"S30-54","30",54,"S","dry",2018-07-27 10:36:00,560259,4896391,1504.766211,458.7701864,1964,54,"Clearcut",2,1,1,0,0,0,0,0,0,1,1,9
"S30-69","30",69,"S","dry",2018-07-30 06:38:00,563146,4897528,2087.196303,636.3403363,1986,32,"Clearcut",1,1,1,0,0,0,0,0,0,0,1,0
"S30-71","30",71,"S","dry",2018-07-30 06:51:00,563146,4897528,2087.196303,636.3403363,1986,32,"Clearcut",1,1,1,0,0,1,0,0,0,0,1,0
"S30-72","30",72,"S","dry",2018-07-30 07:00:00,563128,4897562,2058.556201,627.6085979,1986,32,"Clearcut",1,1,1,0,0,0,0,0,0,0,1,6
"S36-55","36",55,"S","dry",2018-07-27 10:59:00,560243,4896408,1538.94974,469.1919939,1964,54,"Clearcut",2,1,1,0,0,0,0,0,0,1,1,0
"S36-56","36",56,"S","dry",2018-07-27 11:10:00,560247,4896399,1518.622092,462.9945402,1964,54,"Clearcut",2,1,1,0,0,0,0,0,0,0,1,10
"S36-57","36",57,"S","dry",2018-07-27 11:26:00,560259,4896391,1504.766211,458.7701864,1964,54,"Clearcut",2,1,1,0,1,0,0,0,0,0,1,0
"S37-1","37",1,"S","dry",2018-06-30 11:44:00,560387,4896548,1565.848785,477.3929223,NA,200,NA,3,1,0,0,0,0,0,1,0,0,1,0
"S37-75","37",75,"S","dry",2018-07-30 09:49:00,561779,4897005,1994.019642,607.9328176,1956,62,"Clearcut",2,1,1,1,0,0,0,0,0,0,1,12
"S37-76","37",76,"S","dry",2018-07-30 09:58:00,561738,4896986,1971.378342,601.0299823,1956,62,"Clearcut",2,1,1,0,0,0,0,0,0,0,1,12
"S37-77","37",77,"S","dry",2018-07-30 10:02:00,561738,4896986,1971.378342,601.0299823,1956,62,"Clearcut",2,1,1,0,0,1,0,0,0,0,1,12
"S37-78","37",78,"S","dry",2018-07-30 10:07:00,561738,4896986,1971.378342,601.0299823,1956,62,"Clearcut",2,1,1,0,0,0,0,0,0,0,1,0
"S44-100","44",100,"S","dry",2018-08-01 07:16:00,559736,4892472,2018.960477,615.5367309,1975,43,"Clearcut",2,0,1,0,0,0,0,0,0,0,1,0
"S44-101","44",101,"S","dry",2018-08-01 07:18:00,559736,4892472,2018.960477,615.5367309,1975,43,"Clearcut",2,0,1,0,0,1,0,0,0,0,1,0
"S44-16","44",16,"S","dry",2018-07-13 08:55:00,559467,4892446,2280.08283,695.1472042,1975,43,"Clearcut",2,0,1,0,0,0,1,0,0,0,2,6
"S44-17","44",17,"S","dry",2018-07-13 09:02:00,559467,4892446,2280.08283,695.1472042,1975,43,"Clearcut",2,0,1,0,1,0,0,0,0,1,2,9
"S44-18","44",18,"S","dry",2018-07-13 09:04:00,559467,4892446,2280.08283,695.1472042,1975,43,"Clearcut",2,0,1,0,1,1,0,0,0,1,2,0
"S44-97","44",97,"S","dry",2018-08-01 07:07:00,559736,4892472,2018.960477,615.5367309,1975,43,"Clearcut",2,0,1,0,0,0,0,0,0,0,1,0
"S44-98","44",98,"S","dry",2018-08-01 07:14:00,559736,4892472,2018.960477,615.5367309,1975,43,"Clearcut",2,0,1,0,0,0,0,0,0,0,1,1
"S45-126","45",126,"S","dry",2018-08-04 07:47:00,561326,4893548,2059.61092,627.9301585,NA,200,NA,3,0,0,0,1,1,0,0,0,0,2,0
"S45-127","45",127,"S","dry",2018-08-04 07:48:00,561326,4893548,2059.61092,627.9301585,NA,200,NA,3,0,0,0,4,1,0,0,0,0,2,0
"S45-128","45",128,"S","dry",2018-08-04 07:50:00,561326,4893548,2059.61092,627.9301585,NA,200,NA,3,0,0,0,0,0,0,1,0,1,2,0
"S45-129","45",129,"S","dry",2018-08-04 07:50:00,561326,4893548,2059.61092,627.9301585,NA,200,NA,3,0,0,0,0,0,0,0,0,0,1,0
"S45-130","45",130,"S","dry",2018-08-04 07:52:00,561326,4893548,2059.61092,627.9301585,NA,200,NA,3,0,0,0,1,0,0,0,0,1,2,0
"S45-132","45",132,"S","dry",2018-08-04 07:56:00,561326,4893548,2059.61092,627.9301585,NA,200,NA,3,0,0,0,0,1,0,0,0,0,0,0
"S45-133","45",133,"S","dry",2018-08-04 07:59:00,561326,4893548,2059.61092,627.9301585,NA,200,NA,3,0,0,0,0,1,0,0,0,0,0,0
"S45-134","45",134,"S","dry",2018-08-04 07:59:00,561326,4893548,2059.61092,627.9301585,NA,200,NA,3,0,0,0,0,1,0,0,0,1,2,0
"S45-135","45",135,"S","dry",2018-08-04 08:30:00,561338,4893148,1913.096144,583.2610196,1990,28,"Clearcut",1,0,1,1,0,1,0,0,0,0,1,0
